timestamp,prefix,as_path,path_length
{1772323200: '2026-02-28 19:00:00'},154.6.76.0,37100 209181,2
{1772323200: '2026-02-28 19:00:00'},45.236.0.0,6939 3356 53181 268215 268215,5
{1772323200: '2026-02-28 19:00:00'},45.181.146.0,6939 3356 22381 27693 269185,5
{1772323200: '2026-02-28 19:00:00'},38.210.239.0,6939 12956 28173 272769 272769,5
{1772323200: '2026-02-28 19:00:00'},189.84.222.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.218.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.212.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.208.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.210.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.214.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.220.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},189.84.216.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},177.137.232.0,6939 12956 28173,3
{1772323200: '2026-02-28 19:00:00'},45.65.131.0,6939 12956 28173 266528,4
{1772323200: '2026-02-28 19:00:00'},45.227.24.0,6939 12956 28173 267040,4
{1772323200: '2026-02-28 19:00:00'},187.109.246.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.254.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.242.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.244.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.250.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.248.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.240.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},187.109.252.0,6939 12956 28173 262497,4
{1772323200: '2026-02-28 19:00:00'},45.236.0.0,20130 6939 3356 53181 268215 268215,6
{1772323200: '2026-02-28 19:00:00'},68.68.244.0,22652 3257 174 62646,4
{1772323200: '2026-02-28 19:00:00'},130.137.150.0,3257 174 16509,3
{1772323200: '2026-02-28 19:00:00'},108.139.232.0,3257 174 16509 16509 16509,5
{1772323200: '2026-02-28 19:00:00'},187.249.2.0,37100 174 32098,3
{1772323200: '2026-02-28 19:00:00'},71.44.22.0,57866 1299 20115 16787,4
{1772323200: '2026-02-28 19:00:00'},71.44.21.0,57866 1299 20115 16787,4
{1772323200: '2026-02-28 19:00:00'},71.44.16.0,57866 1299 20115 16787,4
{1772323200: '2026-02-28 19:00:00'},138.99.97.0,2152 3356 6762 268624 28370 28370 28370 28370 28370 28657,10
{1772323200: '2026-02-28 19:00:00'},38.19.194.0,2152 11164 3491 6204 208972 213812,6
{1772323200: '2026-02-28 19:00:00'},185.146.138.0,2152 11164 3491 6204 208972 213812,6
{1772323200: '2026-02-28 19:00:00'},189.1.172.0,2152 11164 3491 22356 22356 22356 262287,7
{1772323200: '2026-02-28 19:00:00'},189.1.172.0,2152 11164 3491 22356 22356 22356 262287,7
{1772323200: '2026-02-28 19:00:00'},5.175.191.0,2152 11164 3491 6204 51202 215828 11967 210915,8
{1772323200: '2026-02-28 19:00:00'},45.4.40.0,2152 11164 3491 264409 273683,5
{1772323200: '2026-02-28 19:00:00'},177.53.46.0,2152 11164 3491 264409 273683,5
{1772323200: '2026-02-28 19:00:00'},45.181.146.0,20130 6939 3356 22381 27693 269185,6
{1772323200: '2026-02-28 19:00:00'},146.66.28.0,22652 33891 24940 16302 51728 43016,6
{1772323200: '2026-02-28 19:00:00'},130.137.150.0,37100 3257 174 16509,4
{1772323200: '2026-02-28 19:00:00'},36.50.219.0,2914 1299 38158 152070,4
{1772323200: '2026-02-28 19:00:00'},187.249.2.0,2914 32098,2
{1772323200: '2026-02-28 19:00:00'},68.68.244.0,2914 174 62646,3
{1772323200: '2026-02-28 19:00:00'},103.141.108.0,2914 174 4800 138886 138886 138886,6
{1772323200: '2026-02-28 19:00:00'},138.99.97.0,2152 3356 6453 22356 22356 22356 28370 28370 28370 28370 28370 28657,12
{1772323200: '2026-02-28 19:00:00'},138.99.97.0,3257 3356 28370 28370 28370 28370 28370 28657,8
{1772323218: '2026-02-28 19:00:18'},195.155.146.0,57866 5511 3356 34984 34984 34984 34984 34984 34984 43352,10
{1772323218: '2026-02-28 19:00:18'},84.205.76.0,57866 5511 6762 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.67.0,57866 5511 3320 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,57866 5511 1299 44684 12654,5
{1772323218: '2026-02-28 19:00:18'},84.205.65.0,57866 5511 3320 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.69.0,57866 5511 49434 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.64.0,57866 5511 30781 204092 12654,5
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,57866 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.65.0,57866 5511 60068 58313 12654,5
{1772323218: '2026-02-28 19:00:18'},203.26.241.0,57866 3491 132602 58655 137532 137532 137532 137532,8
{1772323218: '2026-02-28 19:00:18'},103.219.224.0,57866 3491 132602 58655 137532 137532 137532 137532,8
{1772323218: '2026-02-28 19:00:18'},138.99.97.0,3257 3356 28370 28370 28370 28370 28370 28657,8
{1772323218: '2026-02-28 19:00:18'},195.155.146.0,3257 3356 34984 34984 34984 34984 34984 34984 43352,9
{1772323218: '2026-02-28 19:00:18'},195.155.146.0,3257 3356 34984 34984 34984 34984 34984 34984 43352,9
{1772323218: '2026-02-28 19:00:18'},84.205.65.0,3257 35266 12654,3
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,3257 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.69.0,3257 12779 12654,3
{1772323218: '2026-02-28 19:00:18'},84.205.67.0,3257 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.64.0,3257 1299 30781 204092 12654,5
{1772323218: '2026-02-28 19:00:18'},45.172.92.0,3257 6453 32098 17072 265566,5
{1772323218: '2026-02-28 19:00:18'},146.66.28.0,22652 1299 47605 43016,4
{1772323218: '2026-02-28 19:00:18'},146.66.28.0,22652 33891 24940 16302 51728 47605 43016,7
{1772323218: '2026-02-28 19:00:18'},84.205.76.0,22652 34549 34549 58057 12654,5
{1772323218: '2026-02-28 19:00:18'},195.155.146.0,22652 3257 3356 34984 34984 34984 34984 34984 34984 43352,10
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,22652 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.64.0,22652 1299 30781 204092 12654,5
{1772323218: '2026-02-28 19:00:18'},84.205.67.0,22652 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.65.0,22652 1299 42473 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.69.0,22652 1299 56987 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.75.0,22652 1299 9002 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.75.0,6939 12654,2
{1772323218: '2026-02-28 19:00:18'},84.205.67.0,6939 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.69.0,6939 1299 48362 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.64.0,6939 61218 12654,3
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,6939 1299 42541 42541 42541 42541 12654,7
{1772323218: '2026-02-28 19:00:18'},84.205.66.0,6939 1299 44684 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.67.0,6939 3320 12654,3
{1772323218: '2026-02-28 19:00:18'},84.205.65.0,6939 1299 35266 12654,4
{1772323218: '2026-02-28 19:00:18'},84.205.69.0,6939 12654,2
{1772323218: '2026-02-28 19:00:18'},84.205.70.0,6939 2497 12654,3
{1772323218: '2026-02-28 19:00:18'},68.68.244.0,3549 3356 174 62646,4
{1772323218: '2026-02-28 19:00:18'},177.53.46.0,3549 3356 273683,3
{1772323218: '2026-02-28 19:00:18'},138.99.97.0,3549 3356 28370 28370 28370 28370 28370 28657,8
{1772323218: '2026-02-28 19:00:18'},102.204.188.0,3549 3356 6939 37662 37662 328514 329627,7
{1772323218: '2026-02-28 19:00:18'},170.150.53.0,3549 3356 4230 266583 273730 265046,6
{1772323218: '2026-02-28 19:00:18'},94.102.7.0,3549 3356 2914 9121 51559,5
{1772323218: '2026-02-28 19:00:18'},201.182.14.0,3549 3356 14840 262676 61605 61605 61605 61605 267492,9
