prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious,anomaly
102.130.106.0,4203,3.265286699976208,6,2,1,True,-1
102.66.139.0,3720,6.522311827956989,9,5,1,True,-1
103.1.51.0,7,11.714285714285714,18,7,1,False,-1
103.1.56.0,152,8.743421052631579,13,2,1,True,-1
103.110.182.0,689,7.730043541364296,8,6,1,True,-1
103.110.183.0,681,7.66813509544787,8,6,1,True,-1
103.115.5.0,667,6.692653673163418,7,5,1,True,-1
103.122.230.0,1,13.0,13,13,1,False,-1
103.129.78.0,709,3.2566995768688294,5,3,1,True,-1
103.129.79.0,699,3.2618025751072963,5,3,1,True,-1
103.130.180.0,694,3.2002881844380404,5,3,1,True,-1
103.132.142.0,12,14.333333333333334,18,4,1,True,-1
103.132.143.0,11,12.636363636363637,18,4,1,False,-1
103.138.176.0,753,3.3426294820717133,5,3,1,True,-1
103.145.225.0,10,13.5,18,4,1,False,-1
103.145.45.0,251,5.653386454183267,14,3,1,True,-1
103.151.222.0,510,6.82156862745098,10,6,1,True,-1
103.151.223.0,300,6.86,10,6,1,True,-1
103.160.68.0,13,15.76923076923077,16,15,1,True,-1
103.169.187.0,7,11.714285714285714,18,7,1,False,-1
103.17.59.0,41,9.853658536585366,19,3,1,False,-1
103.177.86.0,632,11.164556962025316,14,10,1,True,-1
103.177.87.0,628,11.1671974522293,14,10,1,True,-1
103.178.152.0,146,4.780821917808219,15,2,1,True,-1
103.179.18.0,86,11.325581395348838,19,6,1,False,-1
103.179.19.0,85,11.388235294117647,19,6,1,False,-1
103.183.53.0,376,5.542553191489362,9,4,1,True,-1
103.191.60.0,600,6.86,10,6,1,True,-1
103.191.61.0,300,6.86,10,6,1,True,-1
103.20.108.0,586,6.870307167235495,10,6,1,True,-1
103.20.109.0,305,6.862295081967213,10,6,1,True,-1
103.21.205.0,6,17.5,20,15,1,True,-1
103.212.36.0,1170,5.741880341880342,6,4,1,True,-1
103.212.38.0,491,5.753564154786151,6,4,1,True,-1
103.219.228.0,112,9.455357142857142,15,7,1,False,-1
103.223.2.0,452,5.56858407079646,12,4,1,True,-1
103.233.200.0,698,3.199140401146132,5,3,1,True,-1
103.243.18.0,40,14.225,16,13,1,True,-1
103.246.24.0,698,3.199140401146132,5,3,1,True,-1
103.247.83.0,3,12.666666666666666,13,12,1,False,-1
103.248.132.0,565,3.635398230088496,6,3,1,True,-1
103.29.189.0,492,5.754065040650406,6,4,1,True,-1
103.3.196.0,30,19.3,22,15,2,True,-1
103.30.180.0,2,18.5,19,18,1,True,-1
103.66.128.0,698,3.199140401146132,5,3,1,True,-1
103.79.225.0,2,15.0,15,15,1,True,-1
103.79.226.0,2,15.0,15,15,1,True,-1
103.79.227.0,2,15.0,15,15,1,True,-1
105.145.43.0,107,7.271028037383178,16,6,1,False,-1
106.68.0.0,90,7.311111111111111,12,2,2,True,-1
106.69.0.0,87,7.402298850574713,12,4,2,True,-1
107.154.97.0,844,4.055687203791469,8,2,1,True,-1
109.109.32.0,1,17.0,17,17,1,True,-1
109.109.48.0,1,17.0,17,17,1,True,-1
109.233.206.0,200,6.915,17,4,1,True,-1
109.251.107.0,196,9.071428571428571,15,2,1,True,-1
109.251.186.0,214,8.630841121495328,15,2,1,True,-1
109.251.187.0,272,7.139705882352941,14,2,1,True,-1
109.251.195.0,172,9.13953488372093,14,2,1,True,-1
109.251.202.0,199,8.582914572864322,14,2,1,True,-1
109.251.59.0,196,9.010204081632653,13,2,1,True,-1
109.251.60.0,201,8.99502487562189,13,2,1,True,-1
109.251.61.0,195,9.015384615384615,13,2,1,True,-1
109.251.63.0,120,7.291666666666667,14,2,1,False,-1
109.251.73.0,170,9.094117647058823,14,2,1,True,-1
109.251.74.0,193,9.020725388601036,15,2,1,True,-1
109.251.75.0,170,9.094117647058823,14,2,1,True,-1
109.251.79.0,166,8.801204819277109,14,2,1,True,-1
109.251.82.0,192,8.609375,12,2,1,True,-1
109.251.83.0,204,8.647058823529411,14,2,1,True,-1
109.251.90.0,147,7.435374149659863,14,2,1,True,-1
109.251.95.0,172,9.104651162790695,14,2,1,True,-1
111.223.32.0,1341,20.683818046234155,21,19,1,True,-1
111.223.48.0,671,20.68107302533532,21,19,1,True,-1
111.223.60.0,671,20.68107302533532,21,19,1,True,-1
113.21.32.0,240,6.6375,9,3,1,True,-1
113.29.208.0,48,12.083333333333334,15,2,1,False,-1
114.30.96.0,85,5.423529411764706,9,2,2,True,-1
115.166.0.0,170,7.935294117647059,12,2,2,True,-1
115.72.76.0,2,22.5,23,22,1,True,-1
115.72.77.0,3,22.666666666666668,23,22,1,True,-1
116.97.52.0,2,22.5,23,22,1,True,-1
116.97.53.0,2,22.5,23,22,1,True,-1
117.103.116.0,386,8.992227979274611,9,6,1,True,-1
118.208.128.0,82,5.329268292682927,9,2,2,True,-1
118.208.192.0,88,5.409090909090909,8,2,2,True,-1
118.208.224.0,150,8.78,14,2,1,True,-1
118.211.0.0,86,5.395348837209302,9,2,2,True,-1
121.44.0.0,163,5.711656441717792,9,2,2,True,-1
121.44.128.0,86,7.313953488372093,12,2,2,True,-1
121.44.192.0,136,6.529411764705882,12,2,2,True,-1
121.45.240.0,149,8.731543624161073,14,2,1,True,-1
124.109.0.0,726,3.278236914600551,5,3,1,True,-1
124.109.1.0,732,3.2745901639344264,5,3,1,True,-1
124.109.2.0,533,3.2532833020637897,5,3,1,True,-1
124.109.3.0,727,3.277854195323246,5,3,1,True,-1
124.148.128.0,154,7.428571428571429,12,2,2,True,-1
124.148.224.0,153,8.732026143790849,14,2,1,True,-1
124.149.224.0,148,8.797297297297296,14,2,1,True,-1
124.168.0.0,93,5.483870967741935,9,2,2,True,-1
124.168.216.0,150,8.833333333333334,14,2,1,True,-1
124.170.192.0,137,9.138686131386862,14,4,2,True,-1
125.212.172.0,2,22.5,23,22,1,True,-1
125.212.173.0,2,22.5,23,22,1,True,-1
125.234.142.0,2,22.5,23,22,1,True,-1
125.234.143.0,2,22.5,23,22,1,True,-1
125.235.225.0,2,22.5,23,22,1,True,-1
128.201.52.0,2,15.5,17,14,1,True,-1
128.201.54.0,1,25.0,25,25,1,True,-1
128.65.160.0,1,17.0,17,17,1,True,-1
130.137.108.0,196,4.964285714285714,12,2,1,True,-1
130.137.12.0,229,4.864628820960698,12,2,1,True,-1
130.137.133.0,192,3.1354166666666665,9,2,1,True,-1
130.137.136.0,212,3.108490566037736,9,2,1,True,-1
130.137.141.0,174,3.1379310344827585,9,2,1,True,-1
130.137.230.0,237,3.1856540084388185,8,2,1,True,-1
130.137.47.0,191,3.235602094240838,9,2,1,True,-1
130.137.85.0,192,3.1354166666666665,9,2,1,True,-1
130.137.86.0,208,3.1778846153846154,9,2,1,True,-1
130.185.238.0,1,15.0,15,15,1,True,-1
131.108.155.0,1,25.0,25,25,1,True,-1
131.161.48.0,2,13.0,13,13,1,False,-1
131.161.50.0,1,13.0,13,13,1,False,-1
131.72.32.0,419,5.083532219570405,8,3,1,True,-1
137.227.74.0,535,3.5345794392523366,6,3,1,True,-1
137.235.25.0,343,8.892128279883382,20,6,1,True,-1
138.122.188.0,1,14.0,14,14,1,False,-1
138.122.189.0,1,14.0,14,14,1,False,-1
