prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
1.0.0.0,1,2.0,2,2,1,False
1.0.132.0,1,5.0,5,5,1,False
1.0.133.0,1,5.0,5,5,1,False
1.0.138.0,1,5.0,5,5,1,False
1.0.139.0,1,5.0,5,5,1,False
1.0.140.0,1,5.0,5,5,1,False
1.0.142.0,1,5.0,5,5,1,False
1.0.166.0,1,5.0,5,5,1,False
1.0.170.0,1,6.0,6,6,1,False
1.0.196.0,1,5.0,5,5,1,False
1.0.197.0,1,5.0,5,5,1,False
1.0.204.0,1,5.0,5,5,1,False
1.0.205.0,1,5.0,5,5,1,False
1.0.206.0,1,5.0,5,5,1,False
1.0.207.0,1,5.0,5,5,1,False
1.0.210.0,1,6.0,6,6,1,False
1.0.217.0,1,5.0,5,5,1,False
1.0.219.0,1,5.0,5,5,1,False
1.1.1.0,1,2.0,2,2,1,False
1.1.136.0,1,5.0,5,5,1,False
1.1.137.0,1,5.0,5,5,1,False
1.1.138.0,1,5.0,5,5,1,False
1.1.139.0,1,5.0,5,5,1,False
1.1.151.0,1,5.0,5,5,1,False
1.1.176.0,1,5.0,5,5,1,False
1.1.179.0,1,5.0,5,5,1,False
1.1.180.0,1,5.0,5,5,1,False
1.1.181.0,1,5.0,5,5,1,False
1.1.182.0,1,5.0,5,5,1,False
1.1.183.0,1,5.0,5,5,1,False
1.1.190.0,1,5.0,5,5,1,False
1.1.216.0,1,5.0,5,5,1,False
1.1.217.0,1,5.0,5,5,1,False
1.1.218.0,1,5.0,5,5,1,False
1.1.219.0,1,5.0,5,5,1,False
1.1.220.0,1,5.0,5,5,1,False
1.1.221.0,1,5.0,5,5,1,False
1.1.222.0,1,5.0,5,5,1,False
1.1.248.0,1,5.0,5,5,1,False
1.1.251.0,1,5.0,5,5,1,False
1.1.253.0,1,5.0,5,5,1,False
1.1.254.0,1,5.0,5,5,1,False
1.1.255.0,1,5.0,5,5,1,False
1.10.10.0,1,5.0,5,5,1,False
1.11.92.0,1,4.0,4,4,1,False
1.11.94.0,1,4.0,4,4,1,False
1.16.0.0,1,4.0,4,4,1,False
1.162.150.0,1,7.0,7,7,1,False
1.179.232.0,1,5.0,5,5,1,False
1.179.236.0,1,5.0,5,5,1,False
1.179.241.0,1,5.0,5,5,1,False
1.179.242.0,1,5.0,5,5,1,False
1.179.243.0,1,5.0,5,5,1,False
1.179.245.0,1,5.0,5,5,1,False
1.18.119.0,1,4.0,4,4,1,False
1.18.125.0,1,4.0,4,4,1,False
1.18.129.0,2,4.5,5,4,1,False
1.184.0.0,1,7.0,7,7,1,False
1.203.112.0,2,4.0,4,4,1,False
1.203.113.0,1,4.0,4,4,1,False
1.209.183.0,1,9.0,9,9,1,False
1.209.185.0,1,9.0,9,9,1,False
1.209.200.0,1,4.0,4,4,1,False
1.209.83.0,1,4.0,4,4,1,False
1.21.128.0,1,4.0,4,4,1,False
1.21.96.0,1,4.0,4,4,1,False
1.214.72.0,1,4.0,4,4,1,False
1.214.73.0,1,4.0,4,4,1,False
1.214.92.0,1,4.0,4,4,1,False
1.222.128.0,1,6.0,6,6,1,False
1.222.136.0,1,6.0,6,6,1,False
1.222.144.0,1,6.0,6,6,1,False
1.222.160.0,1,6.0,6,6,1,False
1.222.168.0,1,6.0,6,6,1,False
1.222.176.0,1,6.0,6,6,1,False
1.222.184.0,1,6.0,6,6,1,False
1.224.0.0,1,4.0,4,4,1,False
1.224.16.0,1,4.0,4,4,1,False
1.224.172.0,1,4.0,4,4,1,False
1.224.173.0,1,4.0,4,4,1,False
1.224.174.0,1,4.0,4,4,1,False
1.224.175.0,1,4.0,4,4,1,False
1.224.180.0,1,6.0,6,6,1,False
1.224.32.0,1,4.0,4,4,1,False
1.225.34.0,1,3.0,3,3,1,False
1.225.88.0,1,3.0,3,3,1,False
1.226.216.0,1,3.0,3,3,1,False
1.227.196.0,1,4.0,4,4,1,False
1.227.58.0,1,3.0,3,3,1,False
1.228.254.0,1,4.0,4,4,1,False
1.230.165.0,1,3.0,3,3,1,False
1.230.166.0,1,3.0,3,3,1,False
1.230.210.0,1,3.0,3,3,1,False
1.230.244.0,1,3.0,3,3,1,False
1.231.148.0,1,3.0,3,3,1,False
1.231.20.0,1,4.0,4,4,1,False
1.232.100.0,1,3.0,3,3,1,False
1.232.106.0,1,3.0,3,3,1,False
1.232.12.0,1,4.0,4,4,1,False
1.232.128.0,1,3.0,3,3,1,False
1.232.154.0,1,3.0,3,3,1,False
1.232.186.0,1,3.0,3,3,1,False
1.232.252.0,1,3.0,3,3,1,False
1.232.49.0,1,4.0,4,4,1,False
1.233.112.0,1,3.0,3,3,1,False
1.233.2.0,1,4.0,4,4,1,False
1.233.206.0,1,4.0,4,4,1,False
1.233.208.0,1,4.0,4,4,1,False
1.233.224.0,1,4.0,4,4,1,False
1.233.226.0,1,4.0,4,4,1,False
1.233.228.0,1,4.0,4,4,1,False
1.233.232.0,1,4.0,4,4,1,False
1.233.236.0,1,4.0,4,4,1,False
1.233.238.0,1,4.0,4,4,1,False
