prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
1.161.0.0,23,4.260869565217392,5,4,1,False
1.162.0.0,12,4.0,4,4,1,False
1.172.0.0,23,4.130434782608695,5,4,1,False
1.34.0.0,15,4.2,5,4,1,False
1.36.0.0,2,3.0,3,3,1,False
1.64.0.0,4,3.0,3,3,1,False
1.64.128.0,2,3.0,3,3,1,False
1.65.0.0,2,3.0,3,3,1,False
101.44.104.0,37,3.4054054054054053,5,2,1,False
101.53.47.0,101,5.0594059405940595,9,3,1,False
101.99.64.0,1,5.0,5,5,1,False
101.99.77.0,1,5.0,5,5,1,False
102.130.164.0,89,4.067415730337078,5,2,1,False
102.130.168.0,89,4.067415730337078,5,2,1,False
102.130.172.0,89,4.067415730337078,5,2,1,False
102.176.250.0,24,8.208333333333334,24,3,1,False
102.204.188.0,128,6.28125,10,4,1,False
102.205.45.0,65,4.384615384615385,7,2,1,False
102.212.174.0,82,6.2560975609756095,9,5,1,False
102.217.238.0,1,3.0,3,3,1,False
102.221.15.0,3,2.0,2,2,1,False
102.240.0.0,267,3.8239700374531833,5,3,1,False
102.240.1.0,271,3.8339483394833946,5,3,1,False
102.240.16.0,269,3.828996282527881,5,3,1,False
102.240.2.0,270,3.825925925925926,5,3,1,False
102.240.22.0,268,3.8208955223880596,5,3,1,False
102.240.23.0,267,3.8239700374531833,5,3,1,False
102.240.3.0,269,3.828996282527881,5,3,1,False
102.240.4.0,269,3.828996282527881,5,3,1,False
102.240.5.0,269,3.828996282527881,5,3,1,False
102.240.7.0,267,3.8239700374531833,5,3,1,False
102.90.127.0,1,4.0,4,4,1,False
102.91.70.0,1,4.0,4,4,1,False
103.101.156.0,2,5.0,5,5,1,False
103.101.157.0,1,5.0,5,5,1,False
103.101.158.0,1,5.0,5,5,1,False
103.101.159.0,1,5.0,5,5,1,False
103.104.136.0,64,10.25,11,6,1,False
103.11.143.0,1,4.0,4,4,1,False
103.110.47.0,5,5.8,6,5,1,False
103.119.153.0,1,5.0,5,5,1,False
103.12.182.0,1,4.0,4,4,1,False
103.121.65.0,13,8.923076923076923,12,8,1,False
103.127.176.0,44,9.909090909090908,17,8,1,False
103.127.177.0,44,9.909090909090908,17,8,1,False
103.127.178.0,44,9.909090909090908,17,8,1,False
103.127.179.0,44,9.909090909090908,17,8,1,False
103.132.15.0,416,4.3125,7,3,1,True
103.138.36.0,2,3.5,4,3,1,False
103.139.109.0,4,4.75,5,4,1,False
103.14.221.0,27,3.0,3,3,1,False
103.14.244.0,5,3.6,4,3,1,False
103.14.246.0,1,3.0,3,3,1,False
103.14.73.0,23,3.5652173913043477,4,3,1,False
103.140.186.0,4,4.75,5,4,1,False
103.140.78.0,2,5.5,6,5,1,False
103.141.108.0,324,6.777777777777778,8,5,1,True
103.143.243.0,34,8.352941176470589,15,5,1,False
103.152.106.0,39,9.41025641025641,17,6,1,False
103.152.107.0,4,7.5,8,7,1,False
103.158.40.0,1,20.0,20,20,1,True
103.16.78.0,3,6.666666666666667,7,6,1,False
103.160.152.0,1,5.0,5,5,1,False
103.164.102.0,59,4.135593220338983,7,2,1,False
103.164.103.0,6,4.166666666666667,5,3,1,False
103.164.253.0,1,4.0,4,4,1,False
103.166.73.0,31,5.225806451612903,8,4,1,False
103.167.26.0,10,3.4,5,2,1,False
103.167.27.0,5,3.4,5,2,1,False
103.167.66.0,25,5.92,9,5,1,False
103.169.56.0,1,6.0,6,6,1,False
103.17.149.0,1,7.0,7,7,1,False
103.170.141.0,5,8.2,9,8,1,False
103.171.238.0,3,7.333333333333333,10,6,1,False
103.172.106.0,1,4.0,4,4,1,False
103.172.107.0,1,4.0,4,4,1,False
103.177.64.0,22,5.0,6,4,1,False
103.177.86.0,174,8.14367816091954,12,6,1,False
103.177.87.0,286,10.094405594405595,14,6,1,False
103.178.39.0,1,5.0,5,5,1,False
103.181.180.0,3,7.333333333333333,8,7,1,False
103.182.68.0,1,6.0,6,6,1,False
103.186.138.0,18,6.777777777777778,10,6,1,False
103.186.53.0,91,7.747252747252747,16,5,1,False
103.186.71.0,23,8.652173913043478,16,5,1,False
103.196.129.0,2,4.5,5,4,1,False
103.196.131.0,2,5.5,6,5,1,False
103.196.27.0,1,5.0,5,5,1,False
103.20.124.0,11,6.0,6,6,1,False
103.200.84.0,73,4.315068493150685,6,3,1,False
103.203.231.0,1,4.0,4,4,1,False
103.205.81.0,1,4.0,4,4,1,False
103.210.240.0,1,4.0,4,4,1,False
103.210.243.0,4,4.75,5,4,1,False
103.215.52.0,2,5.0,5,5,1,False
103.219.224.0,101,9.554455445544555,18,7,1,False
103.219.68.0,5,7.0,7,7,1,False
103.219.69.0,5,7.0,7,7,1,False
103.219.70.0,5,7.0,7,7,1,False
103.23.38.0,2,6.0,6,6,1,False
103.230.124.0,1,4.0,4,4,1,False
103.230.126.0,5,4.6,5,4,1,False
103.230.188.0,4,10.5,11,10,1,False
103.230.190.0,1,10.0,10,10,1,False
103.231.77.0,1,6.0,6,6,1,False
103.233.126.0,2,5.0,5,5,1,False
103.24.72.0,2,8.0,8,8,1,False
103.24.74.0,1,8.0,8,8,1,False
103.246.184.0,4,7.75,8,7,1,False
103.246.185.0,1,4.0,4,4,1,False
103.248.40.0,2,5.0,5,5,1,False
103.248.41.0,1,5.0,5,5,1,False
103.248.43.0,1,5.0,5,5,1,False
103.248.80.0,1,6.0,6,6,1,False
103.249.40.0,60,5.783333333333333,7,5,1,False
103.249.41.0,61,5.786885245901639,7,5,1,False
103.249.42.0,60,5.783333333333333,7,5,1,False
103.249.43.0,60,5.783333333333333,7,5,1,False
103.253.109.0,1,4.0,4,4,1,False
103.26.170.0,2,4.5,5,4,1,False
103.28.162.0,1,4.0,4,4,1,False
103.29.44.0,2,4.0,5,3,1,False
103.29.45.0,9,3.5555555555555554,4,3,1,False
103.29.46.0,7,3.7142857142857144,4,3,1,False
103.29.47.0,9,3.5555555555555554,4,3,1,False
103.37.127.0,30,5.433333333333334,7,4,1,False
103.39.146.0,48,11.875,14,11,1,True
103.39.147.0,24,11.875,14,11,1,True
103.42.136.0,2,4.5,5,4,1,False
103.49.173.0,11,6.0,6,6,1,False
103.50.162.0,30,4.3,5,3,1,False
103.50.216.0,4,10.75,11,10,1,True
103.50.217.0,1,10.0,10,10,1,False
103.51.112.0,2,3.0,3,3,1,False
103.57.148.0,5,6.2,7,6,1,False
103.59.162.0,91,8.340659340659341,12,4,1,False
103.59.233.0,23,3.5652173913043477,4,3,1,False
103.6.10.0,1,5.0,5,5,1,False
103.6.11.0,1,5.0,5,5,1,False
103.6.117.0,3,10.666666666666666,11,10,1,True
103.6.8.0,1,5.0,5,5,1,False
103.6.9.0,1,5.0,5,5,1,False
103.66.63.0,13,5.615384615384615,6,5,1,False
103.72.58.0,12,6.5,9,5,1,False
103.8.45.0,4,5.0,5,5,1,False
103.84.53.0,191,5.9109947643979055,9,4,1,False
103.84.55.0,16,4.75,5,4,2,True
103.87.215.0,2,7.0,7,7,1,False
103.89.74.0,1,6.0,6,6,1,False
103.9.12.0,56,4.089285714285714,6,3,1,False
103.9.13.0,57,4.087719298245614,6,3,1,False
103.9.14.0,61,5.786885245901639,7,5,1,False
103.9.15.0,60,5.783333333333333,7,5,1,False
103.94.136.0,2,5.0,5,5,1,False
103.95.108.0,4,8.0,8,8,1,False
103.95.4.0,117,11.0,15,5,1,True
103.97.179.0,18,5.0,6,4,1,False
104.22.13.0,3,2.6666666666666665,3,2,1,False
104.225.94.0,1,4.0,4,4,1,False
104.225.95.0,1,4.0,4,4,1,False
104.249.174.0,13,3.6923076923076925,5,3,1,False
107.173.239.0,9,3.5555555555555554,4,3,1,False
107.173.249.0,9,3.5555555555555554,4,3,1,False
107.175.112.0,9,3.5555555555555554,4,3,1,False
108.139.224.0,20,6.3,7,5,1,False
108.139.232.0,15,6.2,7,5,1,False
108.139.236.0,20,6.3,7,5,1,False
108.156.58.0,4,2.5,3,2,1,False
108.156.60.0,4,2.5,3,2,1,False
108.156.64.0,4,2.5,3,2,1,False
108.156.68.0,4,2.5,3,2,1,False
108.156.70.0,4,2.5,3,2,1,False
109.104.148.0,82,15.0,24,12,1,True
109.125.253.0,76,3.473684210526316,5,2,1,False
109.200.125.0,66,5.257575757575758,7,4,1,False
111.90.128.0,1,5.0,5,5,1,False
113.11.190.0,1,4.0,4,4,1,False
114.199.71.0,1,4.0,4,4,1,False
114.199.74.0,4,4.75,5,4,1,False
114.24.0.0,18,5.055555555555555,6,5,1,False
114.39.0.0,27,4.0,5,3,1,False
116.206.248.0,1,4.0,4,4,1,False
116.206.249.0,1,4.0,4,4,1,False
116.251.208.0,2,3.5,4,3,1,False
116.251.209.0,1,3.0,3,3,1,False
116.251.216.0,4,4.75,5,4,1,False
117.250.240.0,1,5.0,5,5,1,False
117.54.118.0,1,5.0,5,5,1,False
117.54.119.0,1,5.0,5,5,1,False
117.54.132.0,20,4.6,5,4,1,False
118.185.0.0,11,4.090909090909091,10,3,1,False
118.185.1.0,4,3.5,4,3,1,False
118.185.10.0,8,3.5,4,3,1,False
118.185.100.0,8,3.5,4,3,1,False
118.185.101.0,8,3.5,4,3,1,False
118.185.102.0,8,3.5,4,3,1,False
118.185.103.0,8,3.5,4,3,1,False
118.185.104.0,8,3.5,4,3,1,False
118.185.105.0,8,3.5,4,3,1,False
118.185.106.0,4,3.5,4,3,1,False
118.185.107.0,4,3.5,4,3,1,False
118.185.109.0,8,3.5,4,3,1,False
118.185.11.0,8,3.5,4,3,1,False
118.185.110.0,16,3.5,4,3,1,False
118.185.111.0,3,3.6666666666666665,4,3,1,False
118.185.112.0,16,3.5,4,3,1,False
118.185.114.0,8,3.5,4,3,1,False
118.185.115.0,8,3.5,4,3,1,False
118.185.116.0,2,3.5,4,3,1,False
118.185.117.0,4,3.75,4,3,1,False
118.185.118.0,8,3.5,4,3,1,False
118.185.119.0,4,3.5,4,3,1,False
118.185.12.0,8,3.5,4,3,1,False
118.185.120.0,5,4.2,6,3,1,False
118.185.121.0,8,3.5,4,3,1,False
118.185.122.0,10,3.6,4,3,1,False
118.185.123.0,8,3.5,4,3,1,False
118.185.124.0,8,3.5,4,3,1,False
118.185.125.0,4,3.5,4,3,1,False
118.185.127.0,10,3.6,4,3,1,False
118.185.128.0,16,3.5,4,3,1,False
118.185.129.0,8,3.5,4,3,1,False
118.185.13.0,8,3.5,4,3,1,False
118.185.130.0,8,3.5,4,3,1,False
118.185.131.0,10,3.6,4,3,1,False
118.185.133.0,8,3.5,4,3,1,False
118.185.134.0,8,3.5,4,3,1,False
118.185.135.0,8,3.5,4,3,1,False
118.185.136.0,8,3.5,4,3,1,False
118.185.137.0,8,3.5,4,3,1,False
118.185.138.0,8,3.5,4,3,1,False
118.185.139.0,8,3.5,4,3,1,False
118.185.14.0,3,5.333333333333333,9,3,1,False
118.185.140.0,8,3.5,4,3,1,False
118.185.141.0,8,3.5,4,3,1,False
118.185.142.0,8,3.5,4,3,1,False
118.185.143.0,8,3.5,4,3,1,False
118.185.144.0,11,4.090909090909091,10,3,1,False
118.185.145.0,8,3.5,4,3,1,False
118.185.147.0,3,3.6666666666666665,4,3,1,False
118.185.148.0,8,3.5,4,3,1,False
118.185.149.0,8,3.5,4,3,1,False
118.185.15.0,2,4.0,5,3,1,False
118.185.150.0,2,4.0,4,4,1,False
118.185.151.0,8,3.5,4,3,1,False
118.185.152.0,7,4.428571428571429,10,3,1,False
118.185.154.0,8,3.5,4,3,1,False
118.185.155.0,4,3.75,4,3,1,False
118.185.156.0,8,3.5,4,3,1,False
118.185.157.0,8,3.5,4,3,1,False
118.185.158.0,4,3.75,4,3,1,False
118.185.159.0,4,3.75,4,3,1,False
118.185.16.0,17,3.5294117647058822,4,3,1,False
118.185.160.0,10,3.6,5,3,1,False
118.185.161.0,8,3.5,4,3,1,False
118.185.162.0,2,4.0,4,4,1,False
118.185.163.0,8,3.5,4,3,1,False
118.185.164.0,3,5.333333333333333,9,3,1,False
118.185.166.0,3,5.333333333333333,9,3,1,False
118.185.167.0,12,3.6666666666666665,4,3,1,False
118.185.168.0,8,3.5,4,3,1,False
118.185.169.0,8,3.5,4,3,1,False
118.185.170.0,8,3.5,4,3,1,False
118.185.171.0,8,3.5,4,3,1,False
118.185.172.0,10,3.6,4,3,1,False
118.185.173.0,2,4.0,4,4,1,False
118.185.174.0,1,5.0,5,5,1,False
118.185.175.0,8,3.5,4,3,1,False
118.185.176.0,18,3.5555555555555554,4,3,1,False
118.185.177.0,10,3.6,4,3,1,False
118.185.178.0,2,4.0,5,3,1,False
118.185.179.0,8,3.5,4,3,1,False
118.185.18.0,8,3.5,4,3,1,False
118.185.180.0,4,3.75,4,3,1,False
118.185.181.0,8,3.5,4,3,1,False
118.185.182.0,4,3.5,4,3,1,False
118.185.183.0,3,3.6666666666666665,4,3,1,False
118.185.184.0,13,4.076923076923077,10,3,1,False
118.185.186.0,8,3.5,4,3,1,False
118.185.187.0,10,3.6,4,3,1,False
118.185.188.0,8,3.5,4,3,1,False
118.185.19.0,3,5.333333333333333,9,3,1,False
118.185.191.0,10,3.6,4,3,1,False
118.185.192.0,14,3.5714285714285716,4,3,1,False
118.185.193.0,8,3.5,4,3,1,False
118.185.196.0,8,3.5,4,3,1,False
118.185.197.0,8,3.5,4,3,1,False
118.185.198.0,2,4.0,5,3,1,False
118.185.199.0,8,3.5,4,3,1,False
118.185.2.0,4,3.5,4,3,1,False
118.185.20.0,8,3.5,4,3,1,False
118.185.200.0,11,3.5454545454545454,4,3,1,False
118.185.201.0,4,3.5,4,3,1,False
118.185.202.0,8,3.5,4,3,1,False
118.185.203.0,8,3.5,4,3,1,False
118.185.204.0,8,3.5,4,3,1,False
118.185.206.0,2,4.0,5,3,1,False
118.185.207.0,8,3.5,4,3,1,False
118.185.208.0,10,3.6,5,3,1,False
118.185.209.0,4,3.75,4,3,1,False
118.185.21.0,3,5.333333333333333,9,3,1,False
118.185.211.0,8,3.5,4,3,1,False
118.185.212.0,8,3.5,4,3,1,False
118.185.213.0,8,3.5,4,3,1,False
118.185.214.0,8,3.5,4,3,1,False
118.185.215.0,8,3.5,4,3,1,False
118.185.216.0,16,3.5,4,3,1,False
118.185.218.0,8,3.5,4,3,1,False
118.185.219.0,8,3.5,4,3,1,False
118.185.222.0,8,3.5,4,3,1,False
118.185.223.0,8,3.5,4,3,1,False
118.185.224.0,10,3.5,4,3,1,False
118.185.225.0,8,3.5,4,3,1,False
118.185.226.0,7,3.4285714285714284,4,3,1,False
118.185.227.0,10,3.6,4,3,1,False
118.185.228.0,8,3.5,4,3,1,False
118.185.229.0,8,3.5,4,3,1,False
118.185.230.0,2,3.5,4,3,1,False
118.185.231.0,8,3.5,4,3,1,False
118.185.232.0,16,3.5,4,3,1,False
118.185.233.0,4,3.75,4,3,1,False
118.185.234.0,8,3.5,4,3,1,False
118.185.235.0,8,3.5,4,3,1,False
118.185.237.0,4,3.5,4,3,1,False
118.185.238.0,8,3.5,4,3,1,False
118.185.239.0,8,3.5,4,3,1,False
118.185.24.0,16,3.5,4,3,1,False
118.185.240.0,5,5.0,10,3,1,False
118.185.242.0,8,3.5,4,3,1,False
118.185.245.0,2,4.0,5,3,1,False
118.185.246.0,2,6.5,9,4,1,False
118.185.247.0,4,3.75,4,3,1,False
118.185.248.0,8,3.5,4,3,1,False
118.185.249.0,8,3.5,4,3,1,False
118.185.25.0,8,3.5,4,3,1,False
118.185.252.0,3,5.333333333333333,9,3,1,False
118.185.253.0,8,3.5,4,3,1,False
118.185.254.0,8,3.5,4,3,1,False
118.185.255.0,8,3.5,4,3,1,False
118.185.26.0,2,4.0,5,3,1,False
118.185.27.0,8,3.5,4,3,1,False
118.185.28.0,8,3.5,4,3,1,False
118.185.29.0,8,3.5,4,3,1,False
118.185.30.0,4,3.75,4,3,1,False
118.185.32.0,10,3.6,5,3,1,False
118.185.33.0,4,3.25,4,3,1,False
118.185.34.0,8,3.5,4,3,1,False
118.185.35.0,8,3.5,4,3,1,False
118.185.36.0,8,3.5,4,3,1,False
118.185.37.0,8,3.5,4,3,1,False
118.185.38.0,8,3.5,4,3,1,False
118.185.39.0,8,3.5,4,3,1,False
118.185.4.0,3,5.666666666666667,10,3,1,False
